seconds, time, density, practical_salinity, seawater_temperature
3745671667.93, 16:21:07, 1034.770118, 34.516264, 2.435294
3745671668.95, 16:21:08, 1034.770223, 34.516389, 2.435240
3745671669.96, 16:21:09, 1034.770116, 34.516254, 2.435240
3745671670.97, 16:21:10, 1034.770061, 34.516175, 2.435186
3745671671.98, 16:21:11, 1034.770163, 34.516279, 2.435025
3745671673.00, 16:21:12, 1034.770083, 34.516203, 2.434971
3745671674.01, 16:21:14, 1034.770137, 34.516218, 2.435079
3745671675.02, 16:21:15, 1034.769827, 34.515938, 2.435348
3745671676.04, 16:21:16, 1034.769904, 34.515992, 2.435294
3745671677.05, 16:21:17, 1034.769956, 34.516050, 2.435240
3745671678.06, 16:21:18, 1034.770065, 34.516196, 2.435294
3745671679.07, 16:21:19, 1034.769958, 34.516060, 2.435294
3745671680.09, 16:21:20, 1034.770140, 34.516240, 2.435186
3745671681.10, 16:21:21, 1034.770165, 34.516289, 2.435079
3745671682.11, 16:21:22, 1034.770002, 34.516075, 2.435025
3745671683.12, 16:21:23, 1034.770131, 34.516187, 2.434917
3745671684.14, 16:21:24, 1034.770101, 34.516158, 2.434755
3745671685.15, 16:21:25, 1034.769943, 34.515975, 2.434863
3745671686.16, 16:21:26, 1034.769918, 34.515925, 2.434971
3745671687.17, 16:21:27, 1034.769761, 34.515743, 2.435079
3745671688.19, 16:21:28, 1034.769918, 34.515925, 2.434971
3745671689.20, 16:21:29, 1034.769973, 34.516046, 2.434863
3745671690.21, 16:21:30, 1034.769896, 34.515939, 2.435025
3745671691.22, 16:21:31, 1034.769894, 34.515928, 2.434971
3745671692.24, 16:21:32, 1034.770414, 34.516512, 2.434486
3745671693.25, 16:21:33, 1034.770493, 34.516577, 2.434486
3745671694.26, 16:21:34, 1034.770470, 34.516591, 2.434540
3745671695.28, 16:21:35, 1034.770467, 34.516580, 2.434486
3745671696.29, 16:21:36, 1034.770047, 34.516090, 2.434755
3745671697.30, 16:21:37, 1034.770439, 34.516509, 2.434486
3745671698.31, 16:21:38, 1034.770122, 34.516133, 2.434648
3745671699.33, 16:21:39, 1034.770019, 34.516019, 2.434755
3745671700.34, 16:21:40, 1034.770255, 34.516319, 2.434540
3745671701.35, 16:21:41, 1034.770101, 34.516158, 2.434755
3745671702.36, 16:21:42, 1034.769995, 34.516032, 2.434809
3745671703.38, 16:21:43, 1034.770072, 34.516087, 2.434755
3745671704.39, 16:21:44, 1034.769913, 34.515893, 2.434809
3745671705.40, 16:21:45, 1034.769938, 34.515943, 2.434701
3745671706.41, 16:21:46, 1034.770073, 34.516087, 2.434755
3745671707.43, 16:21:47, 1034.770018, 34.516008, 2.434701
3745671708.44, 16:21:48, 1034.770230, 34.516269, 2.434648
3745671709.45, 16:21:49, 1034.770228, 34.516258, 2.434594
3745671710.46, 16:21:50, 1034.770230, 34.516269, 2.434648
3745671711.48, 16:21:51, 1034.770334, 34.516384, 2.434540
3745671712.49, 16:21:52, 1034.770282, 34.516326, 2.434594
3745671713.50, 16:21:53, 1034.770044, 34.516068, 2.434648
3745671714.51, 16:21:54, 1034.770021, 34.516029, 2.434809
3745671715.53, 16:21:55, 1034.770151, 34.516204, 2.434648
3745671716.54, 16:21:56, 1034.770280, 34.516316, 2.434540
3745671717.55, 16:21:57, 1034.770204, 34.516261, 2.434594
3745671718.56, 16:21:58, 1034.770154, 34.516162, 2.434809
3745671719.58, 16:21:59, 1034.770207, 34.516283, 2.434701
3745671720.59, 16:22:00, 1034.770286, 34.516348, 2.434701
3745671721.60, 16:22:01, 1034.770263, 34.516361, 2.434755
3745671722.62, 16:22:02, 1034.770132, 34.516186, 2.434917
3745671723.63, 16:22:03, 1034.769898, 34.515950, 2.435079
3745671724.64, 16:22:04, 1034.769926, 34.515968, 2.435186
